2003 12 01 11 15  17.80 256.09   0.74 101.00 612.5
2003 12 01 11 20  17.80 256.09   0.74 101.00 612.5
2003 12 01 11 25  17.80 256.09   0.74 101.00 612.5
2003 12 01 11 30  21.63 266.48   1.28 101.00 612.5
2003 12 01 11 35  21.63 266.48   1.28 101.00 612.5
2003 12 01 11 40  21.63 266.48   1.28 101.00 612.5
2003 12 01 11 45  20.66 261.72   1.31 101.00 612.4
2003 12 01 11 50  20.66 261.72   1.31 101.00 612.4
2003 12 01 11 55  20.66 261.72   1.31 101.00 612.4
2003 12 01 12 00  18.97 257.75   1.18 101.00 612.3
2003 12 01 12 05  18.97 257.75   1.18 101.00 612.3
2003 12 01 12 10  18.97 257.75   1.18 101.00 612.3
2003 12 01 12 15  18.57 258.01   1.27 101.00 612.2
2003 12 01 12 20  18.57 258.01   1.27 101.00 612.2
2003 12 01 12 25  18.57 258.01   1.27 101.00 612.2
2003 12 01 12 30  16.48 254.67   1.40 100.90 612.1
2003 12 01 12 35  16.48 254.67   1.40 100.90 612.1
2003 12 01 12 40  16.48 254.67   1.40 100.90 612.1
2003 12 01 12 45  15.35 256.16   1.05 101.00 612.0
2003 12 01 12 50  15.35 256.16   1.05 101.00 612.0
2003 12 01 12 55  15.35 256.16   1.05 101.00 612.0
2003 12 01 13 00  17.41 259.11   1.11 101.00 611.8
2003 12 01 13 05  17.41 259.11   1.11 101.00 611.8
2003 12 01 13 10  17.41 259.11   1.11 101.00 611.8
2003 12 01 13 15  19.48 256.67   1.25 101.00 611.4
2003 12 01 13 20  19.48 256.67   1.25 101.00 611.4
2003 12 01 13 25  19.48 256.67   1.25 101.00 611.4
2003 12 01 13 30  20.12 249.59   1.70 101.00 611.1
2003 12 01 13 35  20.12 249.59   1.70 101.00 611.1
2003 12 01 13 40  20.12 249.59   1.70 101.00 611.1
2003 12 01 13 45  19.80 251.91   1.85 101.00 610.9
2003 12 01 13 50  19.80 251.91   1.85 101.00 610.9
2003 12 01 13 55  19.80 251.91   1.85 101.00 610.9
2003 12 01 14 00  16.77 256.67   1.53 101.00 610.9
2003 12 01 14 05  16.77 256.67   1.53 101.00 610.9
2003 12 01 14 10  16.77 256.67   1.53 101.00 610.9
2003 12 01 14 15  10.74 231.33   0.98 101.00 611.2
2003 12 01 14 20  10.74 231.33   0.98 101.00 611.2
2003 12 01 14 25  10.74 231.33   0.98 101.00 611.2
2003 12 01 14 30  12.19 239.81  -0.01 101.00 611.1
2003 12 01 14 35  12.19 239.81  -0.01 101.00 611.1
2003 12 01 14 40  12.19 239.81  -0.01 101.00 611.1
2003 12 01 14 45  15.73 244.93   0.20 101.00 610.9
2003 12 01 14 50  15.73 244.93   0.20 101.00 610.9
2003 12 01 14 55  15.73 244.93   0.20 101.00 610.9
2003 12 01 15 00  22.47 233.47   0.89 101.00 610.7
2003 12 01 15 05  22.47 233.47   0.89 101.00 610.7
2003 12 01 15 10  22.47 233.47   0.89 101.00 610.7
2003 12 01 15 15  27.15 247.82   0.87 101.00 610.6
2003 12 01 15 20  27.15 247.82   0.87 101.00 610.6
2003 12 01 15 25  27.15 247.82   0.87 101.00 610.6
2003 12 01 15 30  28.03 259.58   0.62 101.00 610.5
2003 12 01 15 35  28.03 259.58   0.62 101.00 610.5
2003 12 01 15 40  28.03 259.58   0.62 101.00 610.5
2003 12 01 15 45  30.20 267.14   0.16 101.00 610.4
2003 12 01 15 50  30.20 267.14   0.16 101.00 610.4
2003 12 01 15 55  30.20 267.14   0.16 101.00 610.4
2003 12 01 16 00  30.58 264.20   0.32 101.00 610.5
2003 12 01 16 05  30.58 264.20   0.32 101.00 610.5
2003 12 01 16 10  30.58 264.20   0.32 101.00 610.5
