1993 09 02 10 09    0.05   0.00    NaN   0.00
1993 09 02 10 19    0.05   0.00    NaN   0.00
1993 09 02 10 29    0.05   0.00    NaN   0.00
1993 09 02 10 39    0.05   0.00    NaN   0.00
1993 09 02 10 49    0.05   0.00    NaN   0.00
1993 09 02 10 59    0.05   0.00    NaN   0.00
1993 09 02 11 09    0.05   0.00    NaN   0.00
1993 09 02 11 19    0.05   0.00    NaN   0.00
1993 09 02 11 29    0.05   0.00    NaN   0.00
1993 09 02 11 39    0.05   0.00    NaN   0.00
1993 09 02 11 49    0.05   0.00    NaN   0.00
1993 09 02 11 59    0.05   0.00    NaN   0.00
1993 09 02 12 09    0.05   0.00    NaN   0.00
1993 09 02 12 19    0.05   0.00    NaN   0.00
1993 09 02 12 29    0.05   0.00    NaN   0.00
1993 09 02 12 39    0.05   0.00    NaN   0.00
1993 09 02 12 49    0.05   0.00    NaN   0.00
1993 09 02 12 59    0.05   0.00    NaN   0.00
1993 09 02 13 09    0.05   0.00    NaN   0.00
1993 09 02 13 19    0.05   0.00    NaN   0.00
1993 09 02 13 29    0.05   0.00    NaN   0.00
1993 09 02 13 39    0.05   0.00    NaN   0.00
1993 09 02 13 49    0.05   0.00    NaN   0.00
1993 09 02 13 59    0.05   0.00    NaN   0.00
1993 09 02 14 09    0.05   0.00    NaN   0.00
1993 09 02 14 19    0.05   0.00    NaN   0.00
1993 09 02 14 29    0.05   0.00    NaN   0.00
1993 09 02 14 39    0.05   0.00    NaN   0.00
1993 09 02 14 49    0.05   0.00    NaN   0.00
1993 09 02 14 59    0.05   0.00    NaN   0.00
1993 09 02 15 09    0.05   0.00    NaN   0.00
1993 09 02 15 19    0.05   0.00    NaN   0.00
1993 09 02 15 29    0.05   0.00    NaN   0.00
1993 09 02 15 39    0.05   0.00    NaN   0.00
1993 09 02 15 49    0.05   0.00    NaN   0.00
1993 09 02 15 59    0.05   0.00    NaN   0.00
1993 09 02 16 09    0.05   0.00    NaN   0.00
