2001 04 02 11 49  11.06 156.12   0.70  63.26 615.59
2001 04 02 11 59   9.39 142.70   0.33  76.58 615.39
2001 04 02 12 09  15.64 109.40  -0.52  74.44 615.08
2001 04 02 12 19  17.77 106.66  -1.18  80.52 614.76
2001 04 02 12 29  22.68 147.79  -1.25  78.37 614.76
2001 04 02 12 39  15.26 135.57  -1.05  60.22 614.76
2001 04 02 12 49  20.04 154.02  -1.91  63.94 614.43
2001 04 02 12 59  16.96 137.16  -2.36  61.65 614.45
2001 04 02 13 09  15.64 136.17  -1.62  69.95 614.27
2001 04 02 13 19  16.62 147.33  -0.82  72.34 614.26
2001 04 02 13 29  14.92 139.61  -0.64  65.36 614.25
2001 04 02 13 39  11.73 149.19  -0.52  57.04 614.20
2001 04 02 13 49  16.87 128.03  -0.32  64.14 614.06
2001 04 02 13 59  11.92 123.04   0.09  74.00 614.03
2001 04 02 14 09  13.69 124.60  -0.69  75.81 614.03
2001 04 02 14 19  10.66 137.15  -1.18  70.76 613.97
2001 04 02 14 29  11.89 170.64  -0.93  54.21 613.97
2001 04 02 14 39   7.44 159.47  -1.25  50.56 614.05
2001 04 02 14 49   8.67 172.76  -1.06  53.74 613.91
2001 04 02 14 59  15.11 139.78  -0.76  52.08 613.73
2001 04 02 15 09  17.41 154.11  -0.32  63.55 613.68
2001 04 02 15 19   9.90 164.21  -0.44  49.20 613.73
2001 04 02 15 29  13.20 129.92  -0.08  57.14 613.66
2001 04 02 15 39  11.01 144.27  -0.15  53.91 613.61
2001 04 02 15 49  15.38 149.19  -0.33  45.41 613.57
2001 04 02 15 59  12.07 154.13  -0.04  60.06 613.50
2001 04 02 16 09  14.08 142.24  -0.04  62.51 613.49
2001 04 02 16 19  15.49 145.83  -0.40  73.61 613.53
2001 04 02 16 29  14.54 139.26  -0.89  60.14 613.52
2001 04 02 16 39  13.21 147.97  -1.01  22.96 613.49
2001 04 02 16 49  16.33 145.05  -1.13  16.21 613.51
2001 04 02 16 59  15.10 127.32  -1.18  12.21 613.63
2001 04 02 17 09  14.03 154.98  -1.38  11.43 613.68
2001 04 02 17 19  16.43 146.10  -1.55  10.74 613.59
2001 04 02 17 29  15.97 155.88  -1.74  11.23 613.68
2001 04 02 17 39  14.82 155.43  -1.78  10.72 613.86
2001 04 02 17 49  13.87 153.04  -1.74  11.18 614.03
2001 04 02 17 59  15.50 137.85  -1.74  38.43 614.17
2001 04 02 18 09  10.52 148.75  -2.22  49.81 614.30
